// A-B A-C
SIMULTANEOUS SIMULTANEOUS SIMULTANEOUS
SIMULTANEOUS BEFORE BEFORE
SIMULTANEOUS AFTER AFTER
SIMULTANEOUS INCLUDES INCLUDES
SIMULTANEOUS IS_INCLUDED IS_INCLUDED
BEFORE SIMULTANEOUS AFTER
BEFORE INCLUDES AFTER
BEFORE AFTER AFTER
AFTER SIMULTANEOUS BEFORE
AFTER INCLUDES BEFORE 
AFTER BEFORE BEFORE
INCLUDES SIMULTANEOUS IS_INCLUDED
INCLUDES BEFORE BEFORE
INCLUDES AFTER AFTER
INCLUDES IS_INCLUDED IS_INCLUDED
IS_INCLUDED SIMULTANEOUS INCLUDES
IS_INCLUDED INCLUDES INCLUDES

// A-B C-A
SIMULTANEOUS SIMULTANEOUS SIMULTANEOUS
SIMULTANEOUS BEFORE AFTER
SIMULTANEOUS AFTER BEFORE
SIMULTANEOUS INCLUDES IS_INCLUDED
SIMULTANEOUS IS_INCLUDED INCLUDES
BEFORE SIMULTANEOUS AFTER
BEFORE BEFORE AFTER
BEFORE IS_INCLUDED AFTER
AFTER SIMULTANEOUS BEFORE
AFTER AFTER BEFORE
AFTER IS_INCLUDED BEFORE
INCLUDES SIMULTANEOUS IS_INCLUDED
INCLUDES BEFORE AFTER
INCLUDES AFTER BEFORE
INCLUDES INCLUDES IS_INCLUDED
IS_INCLUDED SIMULTANEOUS INCLUDES
IS_INCLUDED IS_INCLUDED INCLUDES

// B-A A-C
SIMULTANEOUS SIMULTANEOUS SIMULTANEOUS
SIMULTANEOUS BEFORE BEFORE
SIMULTANEOUS AFTER AFTER
SIMULTANEOUS INCLUDES INCLUDES
SIMULTANEOUS IS_INCLUDED IS_INCLUDED
BEFORE SIMULTANEOUS BEFORE
BEFORE BEFORE BEFORE
BEFORE INCLUDES BEFORE
AFTER SIMULTANEOUS AFTER
AFTER AFTER AFTER
AFTER INCLUDES AFTER
INCLUDES SIMULTANEOUS INCLUDES
INCLUDES INCLUDES INCLUDES
IS_INCLUDED SIMULTANEOUS IS_INCLUDED
IS_INCLUDED BEFORE BEFORE
IS_INCLUDED AFTER AFTER
IS_INCLUDED IS_INCLUDED IS_INCLUDED

// B-A C-A
SIMULTANEOUS SIMULTANEOUS SIMULTANEOUS
SIMULTANEOUS BEFORE AFTER
SIMULTANEOUS AFTER BEFORE
SIMULTANEOUS INCLUDES IS_INCLUDED
SIMULTANEOUS IS_INCLUDED INCLUDES
BEFORE SIMULTANEOUS BEFORE
BEFORE AFTER BEFORE
BEFORE IS_INCLUDED BEFORE
AFTER SIMULTANEOUS AFTER
AFTER BEFORE AFTER
AFTER IS_INCLUDED AFTER
INCLUDES SIMULTANEOUS INCLUDES
INCLUDES IS_INCLUDED INCLUDES
IS_INCLUDED SIMULTANEOUS IS_INCLUDED
IS_INCLUDED BEFORE AFTER
IS_INCLUDED AFTER BEFORE
IS_INCLUDED INCLUDES IS_INCLUDED
